2025-02-08T21:05:14.414Z - ::1 - GET /api/auth/logout 302 23 - PostmanRuntime/7.43.0 - undefined -  
2025-02-08T21:05:14.460Z - ::1 - GET / 200 12 - PostmanRuntime/7.43.0 - http://localhost:3000/api/auth/logout -  
2025-02-08T21:05:17.333Z - ::1 - GET /api/auth/logout 401 32 - PostmanRuntime/7.43.0 - undefined -  
2025-02-08T21:05:20.729Z - ::1 - GET /api/auth/home 401 32 - PostmanRuntime/7.43.0 - undefined -  
2025-02-08T21:05:28.703Z - ::1 - POST /api/auth/login 200 16 - PostmanRuntime/7.43.0 - undefined -  
2025-02-08T21:05:31.887Z - ::1 - GET /api/auth/home 200 9 - PostmanRuntime/7.43.0 - undefined -  
2025-02-08T21:06:36.153Z - ::1 - GET /api/auth/home 200 9 - PostmanRuntime/7.43.0 - undefined -  
2025-02-08T21:06:40.113Z - ::1 - GET /api/auth/logout 302 23 - PostmanRuntime/7.43.0 - undefined -  
2025-02-08T21:06:40.140Z - ::1 - GET / 200 12 - PostmanRuntime/7.43.0 - http://localhost:3000/api/auth/logout -  
2025-02-08T21:12:23.470Z - ::1 - GET / 304 0 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-08T21:12:53.180Z - ::1 - GET / 304 0 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:47:18.390Z - ::1 - POST /api/auth/signup 400 23 - PostmanRuntime/7.43.0 - undefined -  
2025-02-09T09:47:27.414Z - ::1 - GET /api/auth/home 401 32 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:47:31.302Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:47:32.670Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:48:19.395Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:48:20.029Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:48:20.689Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:48:21.302Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:50:35.347Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:50:36.093Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:50:36.499Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:51:40.892Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:51:41.460Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:51:41.947Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:51:42.174Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:51:42.332Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:51:42.514Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:51:42.682Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:51:58.849Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:51:59.625Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:52:00.179Z - ::1 - GET /api/auth/signup 404 154 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:53:41.587Z - ::1 - GET /api/auth/signup 200 9411 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:53:41.668Z - ::1 - GET /api/auth/signup.css 404 158 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T09:53:43.099Z - ::1 - GET /favicon.ico 404 150 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T09:55:00.128Z - ::1 - POST /login 404 145 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T09:56:11.967Z - ::1 - POST /login 404 145 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T09:56:17.631Z - ::1 - GET /api/auth/signup 200 9413 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:56:17.717Z - ::1 - GET /api/auth/signup.css 404 158 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T09:56:40.802Z - ::1 - POST /signup 404 146 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T09:57:02.772Z - ::1 - POST /signup 404 146 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T09:57:07.402Z - ::1 - GET /api/auth/signup 200 9422 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:57:07.475Z - ::1 - GET /api/auth/signup.css 404 158 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T09:57:22.739Z - ::1 - POST /api/auth/signup 400 23 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T09:59:36.594Z - ::1 - GET /api/auth/signup 304 0 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T09:59:36.700Z - ::1 - GET /api/auth/signup.css 404 158 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T09:59:51.122Z - ::1 - POST /api/auth/signup 400 36 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:06:25.966Z - ::1 - GET /api/auth/signup 200 9450 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T10:06:26.091Z - ::1 - GET /api/auth/signup.css 404 158 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:06:26.787Z - ::1 - GET /api/auth/signup 304 0 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T10:06:27.033Z - ::1 - GET /api/auth/signup.css 404 158 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:06:43.892Z - ::1 - POST /api/auth/signup 400 9603 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:06:43.996Z - ::1 - GET /api/auth/signup.css 404 158 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:11:26.607Z - ::1 - GET /api/auth/login 404 153 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T10:11:26.804Z - ::1 - GET /api/auth/login 404 153 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T10:11:29.094Z - ::1 - GET /api/auth/signup 200 9466 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T10:11:29.204Z - ::1 - GET /api/auth/signup.css 404 158 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:11:35.386Z - ::1 - GET /api/auth/signup 304 0 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T10:11:35.469Z - ::1 - GET /api/auth/signup.css 404 158 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:13:30.326Z - ::1 - GET /api/auth/signup 500 1767 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T10:13:31.539Z - ::1 - GET /api/auth/signup 500 1767 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T10:14:02.898Z - ::1 - GET /api/auth/signup 200 9470 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T10:14:02.988Z - ::1 - GET /api/auth/signup.css 404 158 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:14:03.921Z - ::1 - GET /api/auth/signup 304 0 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T10:14:04.001Z - ::1 - GET /api/auth/signup.css 404 158 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:14:11.918Z - ::1 - GET /api/auth/ 404 148 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T10:14:14.182Z - ::1 - GET /api/auth/signup 304 0 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - undefined -  
2025-02-09T10:14:14.277Z - ::1 - GET /api/auth/signup.css 404 158 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:14:25.853Z - ::1 - POST /api/auth/signup 400 1764 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
2025-02-09T10:14:42.168Z - ::1 - POST /api/auth/signup 400 1764 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 - http://localhost:3000/api/auth/signup -  
